year,anomaly_c,lowess_c,uncertainty_95_c,uncertainty_low_c,uncertainty_high_c
1984,0.15,0.21,0.0440156492437113,0.1059843507562887,0.19401564924371129
1985,0.12,0.22,0.0427852092425491,0.07721479075745089,0.1627852092425491
1986,0.18,0.24,0.0444381710411337,0.1355618289588663,0.2244381710411337
1987,0.32,0.27,0.0463568532395779,0.2736431467604221,0.3663568532395779
1988,0.39,0.31,0.0451776636226255,0.3448223363773745,0.4351776636226255
1989,0.27,0.33,0.0537705182872033,0.2162294817127967,0.3237705182872033
1990,0.45,0.33,0.0533762120786154,0.39662378792138464,0.5033762120786154
1991,0.4,0.33,0.0500099885579248,0.3499900114420752,0.45000998855792484
1992,0.22,0.33,0.0445790516930855,0.17542094830691451,0.2645790516930855
1993,0.23,0.33,0.0452751680523473,0.1847248319476527,0.2752751680523473
1994,0.31,0.34,0.0473722035904721,0.2626277964095279,0.3573722035904721
1995,0.44,0.36,0.0522859160139799,0.3877140839860201,0.4922859160139799
1996,0.33,0.4,0.0402328373197339,0.28976716268026614,0.3702328373197339
1997,0.46,0.42,0.0449426434506042,0.4150573565493958,0.5049426434506042
1998,0.61,0.44,0.0442284970962668,0.5657715029037332,0.6542284970962667
1999,0.38,0.47,0.0604273501959324,0.31957264980406763,0.4404273501959324
2000,0.39,0.5,0.0492455065736359,0.3407544934263641,0.4392455065736359
2001,0.53,0.52,0.0500646399678565,0.47993536003214354,0.5800646399678565
2002,0.63,0.55,0.0506710696256215,0.5793289303743785,0.6806710696256215
2003,0.62,0.58,0.0473860034822989,0.5726139965177011,0.6673860034822989
2004,0.53,0.61,0.0451836459601639,0.48481635403983614,0.5751836459601639
2005,0.68,0.62,0.0495358004848812,0.6304641995151189,0.7295358004848812
2006,0.64,0.62,0.0517796347594108,0.5882203652405892,0.6917796347594108
2007,0.66,0.63,0.0603566939031245,0.5996433060968756,0.7203566939031245
2008,0.54,0.64,0.0536235056174004,0.48637649438259967,0.5936235056174004
2009,0.66,0.64,0.0416458374029429,0.6183541625970571,0.701645837402943
2010,0.73,0.65,0.0484319579808732,0.6815680420191268,0.7784319579808732
2011,0.61,0.67,0.0500312385468653,0.5599687614531347,0.6600312385468653
2012,0.65,0.7,0.047832061496054,0.602167938503946,0.697832061496054
2013,0.68,0.74,0.0485087440993799,0.6314912559006202,0.7285087440993799
2014,0.75,0.79,0.047848808030456,0.702151191969544,0.797848808030456
2015,0.9,0.83,0.0558540863154483,0.8441459136845517,0.9558540863154483
2016,1.01,0.87,0.0538583288928778,0.9561416711071222,1.0638583288928778
2017,0.92,0.91,0.0538583288928778,0.8661416711071223,0.9738583288928778
2018,0.85,0.93,0.0538583288928778,0.7961416711071222,0.9038583288928778
2019,0.98,0.94,,,
2020,1.01,0.96,,,
2021,0.85,1.01,,,
2022,0.89,1.06,,,
2023,1.17,1.12,,,
2024,1.28,1.17,,,
2025,1.19,1.23,,,
