HIP,Vmag,Plx,e_Plx,B-V
3277,5.72,15.29,0.58,0.131
3279,8.63,14.53,1.09,0.647
3280,10.99,19.15,2.1,1.27
3282,10.7,18.72,1.86,1.597
3290,7.65,10.33,1.22,0.492
3292,8.77,14.87,1.19,0.531
3293,7.03,20.38,1.02,0.452
3304,9.48,13.09,1.5,0.735
3311,8.39,19.59,1.12,0.677
3312,8.85,10.16,1.12,0.491
3317,10.45,18.33,1.58,1.16
3318,8.15,16.84,1.03,0.543
3326,7.59,16.16,1.19,0.515
3330,5.38,24.59,0.51,0.515
3342,8.87,18.19,1.45,0.702
3352,5.99,13.73,0.58,1.318
3362,10.37,42.03,1.98,1.46
3369,6.63,24.48,0.91,0.529
3378,11.55,35.58,2.87,1.44
3391,7.88,22.7,0.99,0.716
3400,10.12,12.48,1.67,0.8
3405,4.36,13.57,0.57,0.024
3406,9.14,15.87,1.31,0.693
3410,9.24,14.57,1.33,0.674
3414,4.95,18.71,0.73,0.17
3416,8.98,10.48,1.21,0.44
3418,8.73,48.16,1.04,1.13
3419,2.04,34.04,0.82,1.019
3423,9.66,14.15,1.66,0.684
3424,9.11,11.76,1.14,0.496
3428,10.97,23.62,2.28,1.32
3434,7.63,13.46,1.61,0.491
3436,6.01,18.76,0.92,1.107
3438,6.92,12.96,0.86,0.311
3441,9.34,10.94,1.23,0.589
3443,8.57,12.92,1.23,0.589
3451,7.57,10.1,0.66,0.509
3453,9.04,10.82,1.43,0.545
3455,4.77,15.54,0.82,0.998
3463,9.05,11.66,1.44,0.566
3465,8.84,10.08,1.2,0.515
3466,8.61,13.2,1.14,0.552
3468,9.34,10.33,1.32,0.651
3470,8.28,15.37,0.66,0.571
3479,7.78,30.58,1.08,0.664
3483,7.58,13.76,1.03,0.516
3488,8.13,12.31,0.72,0.414
3489,6.06,11.89,0.67,0.446
3493,10.74,29.58,2.21,1.406
3496,9.81,13.01,1.77,0.758
3497,6.55,45.76,0.56,0.655
3502,8.7,12.85,1.27,0.771
3505,5.22,35.92,0.69,0.35
3509,6.9,21.8,0.62,0.492
3512,9.36,16.65,1.29,0.835
3521,5.94,15.01,0.71,0.297
3527,6.15,22.09,0.65,0.524
3531,10.91,18.75,2.3,1.206
3533,7.19,26.87,0.63,0.76
3535,8.03,45.43,0.95,0.983
3540,7.01,24.27,0.88,0.537
3551,9.93,20.12,1.64,0.96
3553,9.25,13.63,1.26,0.666
3556,11.91,25.97,2.73,1.48
3559,6.15,31.39,1.03,0.603
3571,10.99,27.96,2.08,0.668
3572,5.64,11.24,0.55,0.078
3576,6.47,11.38,1.1,0.314
3578,7.88,25.89,1.06,0.677
3579,9.74,19.99,1.06,0.905
3583,5.8,66.92,0.73,0.635
3587,7.54,23.1,0.78,0.545
3588,7.89,62.41,1.6,1.251
3589,7.63,20.56,1.69,0.517
3597,7.57,16.37,0.97,0.497
3600,9.18,12.45,1.36,0.642
3601,9.86,11.75,1.19,0.787
3603,8.65,15.8,1.16,0.637
3617,7.15,14.1,0.9,0.964
3629,9.14,14.22,1.27,0.651
3633,9.92,21.51,1.44,0.814
3641,6.39,24.65,0.59,0.424
3643,8.63,17.2,0.99,0.569
3645,7.57,35.74,2.71,0.822
3669,9.74,15.71,2.2,0.843
3675,5.51,12.45,0.81,0.987
3693,4.08,17.98,0.83,1.1
3704,7.85,19.99,0.94,0.539
3716,9.19,13.96,1.38,0.666
3722,8.74,10.83,1.14,0.83
3723,9.15,10.34,1.42,0.628
3729,10.59,12.89,1.86,0.938
3730,6.51,17.41,0.87,0.521
3734,7.73,12.25,1.03,0.512
3745,8.89,16.87,1.39,0.774
3747,10.87,16.7,1.74,1.066
3750,5.86,14.65,1.35,1.01
3757,12.05,38.91,4.52,1.506
3765,5.74,134.04,0.86,0.89
3773,9.56,14.86,1.38,0.66
3777,8.16,12.85,1.0,0.654
3781,5.09,15.94,0.48,1.345
3786,4.44,10.69,0.78,1.5
3788,6.78,15.91,0.98,0.348
3795,7.6,16.28,1.21,0.614
3810,5.07,41.8,0.75,0.502
3813,10.76,46.32,2.06,1.426
3821,3.46,167.99,0.62,0.587
3829,12.37,226.95,5.35,0.554
3832,7.56,19.48,0.76,0.505
3834,5.9,17.7,0.99,0.944
3855,10.57,19.47,1.99,0.602
3849,5.59,10.02,0.86,1.325
3850,7.15,53.09,1.02,0.769
3857,7.78,14.85,1.32,0.594
3859,8.02,18.65,1.04,0.571
3860,10.42,16.59,1.54,1.023
3864,8.1,13.04,1.11,0.595
3865,6.66,11.53,1.62,0.277
3870,9.79,14.23,1.53,0.733
3876,7.75,46.47,0.7,0.9
3879,9.5,35.95,1.22,1.157
3890,9.06,19.5,1.08,0.734
3897,7.26,10.27,0.95,0.609
3903,6.49,10.31,0.82,0.286
3909,5.17,64.69,1.03,0.514
